"","SID","Year","OS_ID","OS_Name","Site","Material","Material.Overplant","Live_Density","Legal_Density","Sub_Legal_Density","Spat_Density","Non_Spat_Density","Latitude","Longitude","Deployment_Year","Deployment_Month","Material_Age","Sedimentation","Strata","Depth","Relief","SDO","BDO","SSal","BSal","STemp","BTemp"
"1",NA,2007,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-11-18-OS-01-327",2008,"01","Croatan Sound",327,"Marl",NA,1386.28778302995,9.00186872097367,603.125204305236,774.160710003736,612.12707302621,"35 48.2530","75 38.3800",1998,8,10.25,4,"B",43,6,8.2,8.7,16.1,16.2,12.1,12.1
"3","2008-11-18-OS-01-326",2008,"01","Croatan Sound",326,"Marl",NA,1291.93284796945,15.6282199351143,645.966423984724,630.338204049609,661.594643919838,"35 48.2530","75 38.3800",1998,8,10.25,4,"T",43,6,8.2,8.7,16.1,16.2,12.1,12.1
"4","2008-11-18-OS-01-329",2008,"01","Croatan Sound",329,"Marl",NA,1191.11446735627,18.6841485075494,317.63052462834,854.799794220385,336.314673135889,"35 48.2620","75 38.4270",1998,8,10.25,4,"B",43,6,8.2,8.7,16.1,16.2,12.1,12.1
"5","2008-11-18-OS-01-328",2008,"01","Croatan Sound",328,"Marl",NA,1666.53207858853,24.3882743208078,751.97179155824,890.172012709484,776.360065879047,"35 48.2620","75 38.4270",1998,8,10.25,4,"T",43,6,8.2,8.7,16.1,16.2,12.1,12.1
"6","2008-11-18-OS-01-330",2008,"01","Croatan Sound",330,"Marl",NA,1548.79880358337,24.3905323398956,597.568042327441,926.840228916031,621.958574667337,"35 48.2450","75 38.3780",2003,4,5.58333333333333,4,"T",43,8,8.2,8.7,16.1,16.2,12.1,12.1
"7","2008-11-18-OS-01-331",2008,"01","Croatan Sound",331,"Marl",NA,1046.47999595217,11.2524730747546,450.098922990182,585.128599887237,461.351396064936,"35 48.2390","75 38.3640",2003,4,5.58333333333333,4,"T",43,8,8.2,8.7,16.1,16.2,12.1,12.1
"8","2008-11-18-OS-01-325",2008,"01","Croatan Sound",325,"Marl",NA,824.591221933843,4.164602130979,241.546923596782,578.879696206081,245.711525727761,"35 48.2430","75 38.4510",1996,6,12.4166666666667,4,"T",43,6,8.2,8.7,16.1,16.2,12.1,12.1
"9","2008-11-18-OS-01-324",2008,"01","Croatan Sound",324,"Marl",NA,1392.77972860216,21.8475251545438,475.183672111327,895.748531336294,497.031197265871,"35 48.1990","75 38.4000",1996,6,12.4166666666667,4,"T",43,8,8.2,8.7,16.1,16.2,12.1,12.1
"10","2010-2-2-OS-01-563",2010,"01","Croatan Sound",563,"Marl","NA",1011.86339882287,39.1328386285086,654.077445647929,318.653114546427,693.210284276438,"35 48.2450","75 38.3780",2003,4,6.83333333333333,3,"B",30,2,11.5,10.4,28,10.1,36,38
